title,genres,original_language,overview,popularity,production_companies,release_date,budget,runtime,status,tagline,vote_average,vote_count,keywords,adult,production_countries,spoken_languages,actor_1_popularity,actor_2_popularity,actor_3_popularity,mpaa_rating,revenue
Belle,Drama,en,BELLE is inspired by the true story of Dido Elizabeth Belle the illegitimate mixed race daughter of a Royal Navy Admiral. Raised by her aristocratic great-uncle Lord Mansfield and his wife Belle's lineage affords her certain privileges yet the color of her skin prevents her from fully participating in the traditions of her social standing. Left to wonder if she will ever find love Belle falls for an idealistic young vicar's son bent on change who with her help shapes Lord Mansfield's role as Lord Chief Justice to end slavery in England,9.014,Isle of Man Film-DJ Films-BFI-Pinewood Studios-Metrol Technology,2013-05-01,16.204273347199372,105.0,Released,Based on the inspiring true story,7.2,619.0,slavery-victorian england-based on true story-interracial relationship-trial-class differences-slave-period drama-18th century-high society-caribbean sea-biracial-woman director-social issues-costume drama-abolitionist-legal drama-illegitimacy,0.0,United Kingdom,English,2.2491,2.3513,1.7402,PG,16.61920179322338
Star Trek Into Darkness,Action-Adventure-Science Fiction,en,When the crew of the Enterprise is called back home they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for leaving our world in a state of crisis.  With a personal score to settle Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death love will be challenged friendships will be torn apart and sacrifices must be made for the only family Kirk has left: his crew.,40.468,Bad Robot-Paramount-Kurtzman/Orci-Skydance Media,2013-05-05,19.06253463012476,132.0,Released,Earth Will Fall,7.331,8335.0,spacecraft-friendship-sequel-futuristic-space-alien-mysterious force-space opera-terrorist bombing-new beginning,0.0,United States of America,English,3.4764,2.394,9.6725,PG-13,19.962621621292506
Hummingbird,Action-Thriller,en,Homeless and on the run from a military court martial a damaged ex-special forces soldier navigating London's criminal underworld seizes an opportunity to assume another man's identity transforming into an avenging angel in the process.,32.843,Lionsgate-Shoebox Films-IM Global,2013-05-07,16.811242831518264,100.0,Released,All roads don't lead to salvation.,6.2,1482.0,london england-homeless person-chinese mafia-redemption-criminal underworld-stolen identity-homeless,0.0,"United States of America, United Kingdom",English,23.2858,1.0102,1.071,R,15.93811754613459
Go Goa Gone,Comedy-Horror,hi,A rave party off the coast of Goa goes horrifyingly and hilariously wrong when the island is overrun with zombies.,5.85,Eros International-Illuminati Films Pvt Ltd,2013-05-10,14.808762330974558,111.0,Released,I Kill Dead People.,5.8,88.0,goa-zombie-zombie apocalypse-zom-com,0.0,India,Hindi,2.0658,1.2277,0.5249,NR,15.501909511534503
Epic,Animation-Adventure-Family-Fantasy,en,A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group characters in order to save their world—and ours.,25.967,20th Century Fox-Blue Sky Studios-20th Century Fox Animation,2013-05-15,18.420680743952367,102.0,Released,Discover a world beyond your imagination,6.5,2438.0,daughter-forest-father-nature-miniature people,0.0,United States of America,English,5.2479,6.7921,4.3276,PG,19.408088190627407
Joe,Drama,en,The rough-hewn boss of a lumber crew courts trouble when he steps in to protect the youngest member of his team from an abusive father.,9.627,Lionsgate-Worldview Entertainment-Muskat Filmed Properties-Dreambridge Films-Rough House Pictures,2013-05-16,15.201804919084164,118.0,Released,One man's past. One boy's future.,6.529,822.0,child abuse-prostitute-based on novel or book-brothel-texas-snake-rain-pedophilia-tree-bridge-beer-police-wine-fellatio-truck-woods-murder-dog fighting-cigar smoking-underage drinking-facial scar-alcoholic-ex-con-grocery store-shot-search for dog-dirt road-assaulting an officer-gallon of water,0.0,United States of America,English,7.2294,1.4354,0.9867,R,14.676486023417032
Fast & Furious 6,Action-Thriller-Crime,en,Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend Letty.,12.484000000000002,Universal Pictures-Relativity Media-Original Film-One Race-Fuji Television Network-F & F VI Productions A.I.E-dentsu,2013-05-21,18.890684373198102,131.0,Released,All roads lead to this,6.817,9865.0,car race-sequel-street race-car theft,0.0,"Japan, Spain, United Kingdom, United States of America","Cantonese, Dutch, English, Japanese, Russian, Spanish",10.1274,4.3333,7.754,PG-13,20.485872447228836
The Hangover Part III,Comedy,en,This time there's no wedding. No bachelor party. What could go wrong right? But when the Wolfpack hits the road all bets are off.,69.939,Legendary Pictures-Green Hat Films-BenderSpink,2013-05-23,18.45023954619391,100.0,Released,It all ends.,6.212999999999999,7751.0,las vegas,0.0,United States of America,English,4.814,2.482,2.736,R,19.707154968685053
Behind the Candelabra,Drama-Romance,en,Based on the autobiographical novel the tempestuous 6-year relationship between Liberace and his (much younger) lover Scott Thorson is recounted.,9.082,Jerry Weintraub Productions-HBO Films,2013-05-26,16.951004773893423,118.0,Released,Too much of a good thing is wonderful.,6.674,683.0,based on novel or book-celebrity-based on true story-in the closet-las vegas-based on memoir or autobiography-gay,0.0,United States of America,English,4.1595,9.0895,5.5566,R,16.562781472219765
Now You See Me,Thriller-Crime,en,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,54.155,Summit Entertainment-K/O Paper Products-SOIXAN7E QUIN5E-See Me Louisiana,2013-05-29,18.132998671500584,116.0,Released,4 amazing magicians. 3 impossible heists. 1 billion dollars. This is no illusion.,7.3,14308.0,paris france-new york city-bank-fbi-vault-magic-new orleans louisiana-investigation-heist-conspiracy-money-escape-las vegas-magician,0.0,United States of America,"French, English",8.2952,10.4744,3.1789,PG-13,19.6783573038187
Only God Forgives,Drama-Thriller-Crime,en,Julian who runs a Thai boxing club as a front organization for his family's drug smuggling operation is forced by his mother Crystal to find and kill the individual responsible for his brother's recent death.,14.779000000000002,Gaumont-Wild Bunch-Bold Films-Film i Väst-A Grand Elephant,2013-05-30,15.38412647587812,90.0,Released,Time to Meet The Devil,5.858,2143.0,bangkok thailand-surrealism-punishment-suicidal-police officer-neon light-neo-noir-drug trafficker-thai boxing-very little dialogue-emasculation-vengeance,0.0,"Denmark, France, Sweden, United States of America","English, Thai",20.3562,2.8317,0.8513,R,16.151277687178162
After Earth,Science Fiction-Action-Adventure,en,One thousand years after cataclysmic events forced humanity's escape from Earth Nova Prime has become mankind's new home. Legendary General Cypher Raige returns from an extended tour of duty to his estranged family ready to be a father to his 13-year-old son Kitai. When an asteroid storm damages Cypher and Kitai's craft they crash-land on a now unfamiliar and dangerous Earth. As his father lies dying in the cockpit Kitai must trek across the hostile terrain to recover their rescue beacon. His whole life Kitai has wanted nothing more than to be a soldier like his father. Today he gets his chance.,26.002,Columbia Pictures-Overbrook Entertainment-Blinding Edge Pictures,2013-05-30,18.683045008419857,100.0,Released,"Danger is real, fear is a choice",5.2,6249.0,dystopia,0.0,United States of America,English,4.6404,9.9866,1.8392,PG-13,19.312035654363267
The Purge,Science Fiction-Horror-Thriller,en,Given the country's overcrowded prisons the U.S. government begins to allow 12-hour periods of time in which all illegal activity is legal. During one of these free-for-alls a family must protect themselves from a home invasion.,56.262,Universal Pictures-Why Not Productions-Platinum Dunes-Blumhouse Productions,2013-05-31,14.914122846632385,86.0,Released,"One night a year, all crime is legal.",6.255,7577.0,california-dystopia-barricade-bloody fight-home invasion-blood lust-rich vs poor-constitutional convention-legalized murder-social allegory-bloody-bloody death-bloody deaths-2020s,0.0,"France, United States of America",English,5.9647,5.5562,2.0498,R,18.30783256558341
The East,Drama-Thriller,en,An operative for an elite private intelligence firm finds her priorities irrevocably changed after she is tasked with infiltrating an anarchist group known for executing covert attacks upon major corporations.,10.885,Scott Free Productions,2013-05-31,15.687312734865866,116.0,Released,"Spy on us, we'll spy on you.",6.537000000000001,694.0,secret organization-murder-eco terrorism-environmentalism,0.0,"United Kingdom, United States of America",English,1.4736,3.7671,6.3394,PG-13,14.691608264142474
The Way Way Back,Comedy-Drama,en,Shy 14-year-old Duncan goes on summer vacation with his mother her overbearing boyfriend and her boyfriend's daughter. Having a rough time fitting in Duncan finds an unexpected friend in Owen manager of the Water Wizz water park.,20.463,OddLot Entertainment-Sycamore Pictures-The Walsh Company-What Just Happened Productions,2013-06-06,15.341566861459324,103.0,Released,We've all been there.,7.125,1518.0,shyness-beach-bicycle-conversation-friendship-stepfather-vacation-love-neighbor-summer-water park-awkwardness,0.0,United States of America,English,1.3494,6.2513,3.7798,PG-13,16.959604731500193
The Internship,Comedy,en,Two recently laid-off men in their 40s try to make it as interns at a successful Internet company where their managers are in their 20s.,0.8220000000000001,20th Century Fox-Regency Enterprises-21 Laps Entertainment-Wild West Picture Show Productions-TSG Entertainment,2013-06-07,17.875953568510692,119.0,Released,Hiring them was a brilliant mistake.,6.3,3781.0,competition-california-mattress shop-job interview-nerd-rivalry-salesman-fish out of water-dating-loss of job-jobless-job seeking-intern-new job-laid off-transamerica pyramid-computer programming-college student-starting over-life lessons-google-college courses-computer programmer-dream job-odd one out-losing a job-quidditch-self-driving car-find a job-partying-teamwork-computer skills-all work no play-rules and regulations-internship-customer service,0.0,United States of America,English,4.0732,5.0241,3.9004,PG-13,17.599700191882537
This Is the End,Action-Comedy,en,While attending a party at James Franco's house Seth Rogen Jay Baruchel and many other celebrities are faced with the apocalypse.,31.237,Columbia Pictures-Mandate Pictures-Point Grey Pictures,2013-06-12,17.281246460764002,106.0,Released,Nothing ruins a party like the end of the world.,6.223,6306.0,friendship-monster-panic-painting-exorcism-dark comedy-possession-satire-celebrity-friends-end of the world-house party-apocalypse-hollywood-creature-drugs-demon-self-referential-macabre-end-disturbed-frantic-claustrophobic-other worldly-mischievous-dreary-biblical-actor playing themself-dramatic-suspenseful-amused-defiant-exuberant,0.0,United States of America,English,4.0515,3.4345,4.8993,R,18.652120363532077
Man of Steel,Action-Adventure-Science Fiction,en,A young boy learns that he has extraordinary powers and is not of this earth. As a young man he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.,102.904,DC Entertainment-Syncopy-Peters Entertainment-Warner Bros. Pictures,2013-06-12,19.138520537102682,143.0,Released,You will believe that a man can fly.,6.6160000000000005,14439.0,saving the world-flying-hope-superhero-based on comic-alien planet-superhuman-alien invasion-super power-mysterious force-reboot-save the day-dc extended universe (dceu)-save the planet-origin story-alien spaceship,0.0,"United Kingdom, United States of America",English,9.1354,5.7034,4.1507,PG-13,20.31986686989801
The Bling Ring,Drama-Crime,en,Inspired by actual events a group of fame-obsessed teenagers use the Internet to track celebrities' whereabouts in order to rob their homes.,21.756,American Zoetrope-NALA Films-StudioCanal-TFC-Tobis Film-FilmNation Entertainment-Pathé,2013-06-12,16.523560759066484,90.0,Released,"Living the Dream, One Heist at a Time",5.408,2923.0,california-dark comedy-satire-based on true story-celebrity-thief-social satire-fame-burglary-hollywood-woman director,0.0,"France, Germany, Japan, United States of America",English,0.5201,8.5994,2.7829,R,16.7675903766886
Monsters University,Animation-Family,en,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,60.555,Pixar-Walt Disney Pictures,2013-06-19,19.11382792451231,104.0,Released,School never looked this scary.,7.0,9556.0,monster-training camp-dormitory-friendship-games-prequel-feud-bully-best friend-university-fraternity-aftercreditsstinger-college student-personification,0.0,United States of America,English,2.5167,4.7619,4.8688,G,20.426959491464697
World War Z,Action-Drama-Horror-Science Fiction-Thriller,en,Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.,86.82700000000001,Paramount-Plan B Entertainment-GK Films-Hemisphere Media Capital-Apparatus Productions-Latina Pictures-2DUX²-Skydance Media,2013-06-20,19.11382792451231,116.0,Released,Remember Philly!,6.8,13813.0,philadelphia pennsylvania-new jersey-based on novel or book-jerusalem israel-dystopia-apocalypse-zombie-epidemic-nuclear weapons-multiple perspectives-zombie apocalypse-virus,0.0,"Malta, United Kingdom, United States of America",English,11.8771,2.2485,0.9058,PG-13,20.09190025570506
Despicable Me 2,Animation-Comedy-Family,en,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,63.256,Illumination-Universal Pictures,2013-06-26,18.146243898250606,98.0,Released,"When the world needed a hero, they called a villain.",6.9,10799.0,parent child relationship-adoptive father-secret agent-bakery-sequel-falling in love-family-single father-audition-female agent-duringcreditsstinger-first date-supervillain-despicable-masked supervillain-illumination-minions,0.0,United States of America,English,6.2513,3.0214,2.8871,PG,20.69363103181672
White House Down,Action-Drama-Thriller,en,Capitol Policeman John Cale has just been denied his dream job with the Secret Service of protecting President James Sawyer. Not wanting to let down his little girl with the news he takes her on a tour of the White House when the complex is overtaken by a heavily armed paramilitary group. Now with the nation's government falling into chaos and time running out it's up to Cale to save the president his daughter and the country.,49.012,Columbia Pictures-Centropolis Entertainment-Iron Horse Entertainment-Mythology Entertainment,2013-06-27,18.82614585206053,131.0,Released,It will start like any other day,6.4,4220.0,the white house-usa president-conspiracy-secret service,0.0,United States of America,English,5.2355,5.188,5.804,PG-13,19.140307899793502
The Heat,Action-Comedy-Crime,en,"Uptight and straight-laced FBI Special Agent Sarah Ashburn is a methodical investigator with a reputation for excellence--and hyper-arrogance. Shannon Mullins one of Boston P.D.'s ""finest"" is foul-mouthed and has a very short fuse and uses her gut instinct and street smarts to catch the most elusive criminals. Neither has ever had a partner or a friend for that matter. When these two wildly incompatible law officers join forces to bring down a ruthless drug lord they become the last thing anyone expected: buddies.",38.37,Chernin Entertainment-TSG Entertainment-Ingenious Media-Big Screen Productions-20th Century Fox,2013-06-27,17.576710673657836,117.0,Released,They're just trying to stay alive long enough to kill each other.,6.6,3585.0,workaholic-secret identity-factory-undercover-boston massachusetts-fbi-drug dealer-sarcasm-ex-lover-ambition-witness protection-police-crime boss-murder-tracker-police chase-prostitution-drugs-foot chase-criminal-female cop-drinking-police detective-interrogation-drug lord-surveillance-drug bust-name calling-car explosion-family conflict-female detective-albino-buddy cop-buddy comedy-tough cop-arrogance-drunkenness-boston cop-special agent-brother sister relationship-large family-fbi agent-bar-surface incompatibility-quick temper-know-it-all-rule follower vs rule breaker-foul-mouthed-uptight-older sister younger brother-animosity-family member in trouble-police tactics-breaking the rules,0.0,"United Kingdom, United States of America","English, Spanish, Bulgarian",7.729,2.8221,1.3466,R,18.882363475347645
The Lone Ranger,Action-Adventure-Western,en,The Texas Rangers chase down a gang of outlaws led by Butch Cavendish but the gang ambushes the Rangers seemingly killing them all. One survivor is found however by an American Indian named Tonto who nurses him back to health. The Ranger donning a mask and riding a white stallion named Silver teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.,27.391,Walt Disney Pictures-Jerry Bruckheimer Films-Infinitum Nihil-Blind Wink Productions,2013-07-03,19.138520537102682,149.0,Released,Never Take Off the Mask,6.1,5351.0,texas-horse-texas ranger-partner-outlaw-native american-escape-lawyer-train-lone ranger-comanche-tonto,0.0,United States of America,English,9.1024,1.7099,2.3513,PG-13,19.378121538126656
Hunting Elephants,Comedy-Crime,he,In this hilarious crime comedy a gifted 12-year-old boy and three elderly men plan a bank robbery in order to seek revenge on the institution for cheating the youngster after the death of his father.,3.273,United King Films-Bleiberg Entertainment,2013-07-03,14.648419680899378,107.0,Released,"The hilarious story of three old men, a clever kid, and a bank just waiting to be robbed.",6.5,21.0,jerusalem israel-old man-bank robbery-bank heist,0.0,Israel,"English, Hebrew, German",0.8256,3.7104,0.7111,NR,15.319587954740548
Man of Tai Chi,Action-Drama,en,In Beijing a young martial artist's skill places him in position to experience opportunities and sacrifices.,22.825,China Film Group Corporation-Universal Pictures-Village Roadshow Pictures-Dalian Wanda Group-Company Films,2013-07-04,17.034386382832476,105.0,Released,No Rules. No Mercy. Pure Fighting.,6.0360000000000005,782.0,china-martial arts-tai chi-extortion-illegal matches,0.0,"China, United States of America, Hong Kong","Cantonese, English, Mandarin",0.6971,10.2171,2.2566,R,14.535757695038031
A Field in England,Drama-History-Horror-Thriller-Comedy-Adventure-Fantasy,en,During the Civil War in 17th-Century England a small group of deserters flee from a raging battle through an overgrown field. They are captured by an alchemist who forces the group to aid him in his search to find a hidden treasure that he believes is buried in the field. Crossing a vast mushroom circle which provides their first meal the group quickly descend into a chaos of arguments fighting and paranoia and as it becomes clear that the treasure might be something other than gold they slowly become victim to the terrifying energies trapped inside the field.,7.696000000000001,Film4 Productions-Rook Films,2013-07-05,12.611537753638338,90.0,Released,Open Up And Let The Devil In,6.3,206.0,hallucination-surreal-chaos-hysteria-friendship-hallucinogen-magic mushroom-enlightenment-spirituality-drug trip-madness-psychedelics-alchemy-ghost-spiritual journey-english civil war-17th century-folk horror,0.0,United Kingdom,English,1.4547,1.1997,1.2116,NR,13.304684934198283
Grown Ups 2,Comedy,en,Lenny has relocated his family back to the small town where he and his friends grew up. This time around the grown ups are the ones learning lessons from their kids on a day notoriously full of surprises—the last day of school.,75.753,Columbia Pictures-Happy Madison Productions,2013-07-11,18.197537192638155,101.0,Released,Just because they're a little older doesn't mean they've grown up.,6.1,4056.0,friendship-journey in the past-past-friends,0.0,United States of America,English,6.285,3.5336,4.0876,PG-13,19.32498908485697
Turbo,Animation-Family,en,The tale of an ordinary garden snail who dreams of winning the Indy 500.,30.23,DreamWorks Animation,2013-07-11,18.720785336402702,96.0,Released,SLO NO MO,6.2,2859.0,underdog-car race-dream-speed-fast-friends-anthropomorphism-super power-racer,0.0,United States of America,English,6.6213,3.8648,4.4564,PG,19.45943927902544
The Frozen Ground,Thriller-Crime,en,An Alaska State Trooper partners with a young woman who escaped the clutches of serial killer Robert Hansen to bring the murderer to justice. Based on actual events.,16.227,Picture Perfect Corporation-Grindstone Entertainment Group-EFO Films-Cheetah Vision-Court Five-Valentina Films-K5 International-Paradox Entertainment-Envision Entertainment,2013-07-11,17.119462555187596,105.0,Released,The hunter becomes the hunted,6.3,1283.0,prostitute-runaway-confession-gun-winter-kidnapping-hitman-strip club-based on true story-pole dancer-escape-serial killer-man hunt-hunting-drug overdose-anchorage alaska,0.0,United States of America,English,7.2294,2.888,4.7328,R,15.519704132850002
Pacific Rim,Action-Science Fiction-Adventure,en,Using massive piloted robots to combat the alien threat earth's survivors take the fight to the invading alien force lurking in the depths of the Pacific Ocean. Nearly defenseless in the face of the relentless enemy the forces of mankind have no choice but to turn to two unlikely heroes who now stand as earth's final hope against the mounting apocalypse.,96.347,Double Dare You Productions-Legendary Pictures,2013-07-11,19.008467408854486,131.0,Released,"To fight monsters, we created monsters.",6.863,11179.0,monster-dystopia-pacific-alaska-giant robot-giant monster-apocalypse-hong kong-robot-alien invasion-kaiju-duringcreditsstinger-monster movie-2020s,0.0,United States of America,"Cantonese, English, Japanese, Russian",4.468,2.4294,5.5637,PG-13,19.834110842995123
Kick-Ass 2,Action-Adventure-Crime,en,After Kick-Ass’ insane bravery inspires a new wave of self-made masked crusaders he joins a patrol led by the Colonel Stars and Stripes. When these amateur superheroes are hunted down by Red Mist — reborn as The Mother Fucker — only the blade-wielding Hit-Girl can prevent their annihilation.,31.942,Marv Films-Universal Pictures-dentsu-Plan B Entertainment,2013-07-17,17.14771506813948,103.0,Released,You Can't Fight Your Destiny.,6.397,5601.0,crime fighter-secret identity-superhero-based on comic-aftercreditsstinger-teen superhero,0.0,"United Kingdom, United States of America",English,5.1201,6.016,2.6696,R,17.921454256029726
The Conjuring,Horror-Thriller,en,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity the Warrens find themselves caught in the most terrifying case of their lives.,132.79399999999998,Evergreen Media Group-New Line Cinema-The Safran Company,2013-07-18,16.38045991542581,112.0,Released,Based on the true case files of the Warrens,7.537000000000001,10199.0,sibling relationship-1970s-cellar-exorcism-satanism-haunted house-rhode island-horror-based on true story-possession-paranormal investigation-crucifix-ghost-demonic-demonology-psychic vision,0.0,United States of America,English,3.7455,3.766,2.4038,R,19.585100254866337
RED 2,Action-Comedy-Crime-Thriller,en,Retired C.I.A. agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.,63.581,di Bonaventura Pictures-Summit Entertainment-DC-DC Entertainment-Saints LA-NeoReel,2013-07-18,18.246327356807587,116.0,Released,The best never rest.,6.5,3929.0,london england-central intelligence agency (cia)-paris france-england-europe-based on comic-mi6-agent-hired killer-exploding airplane,0.0,"Canada, France, United States of America","English, French, Russian",5.3162,4.1479,3.6248,PG-13,18.813398279238026
Khumba,Animation-Adventure-Family,en,A half-striped zebra is blamed for the drought and leaves his herd in search of his missing stripes. He is joined on his quest by an overprotective wildebeest and a flamboyant ostrich; they defeat the tyrannical leopard and save his herd.,20.355,Triggerfish Animation Studios,2013-07-18,16.811242831518264,85.0,Released,"Half a zebra, a whole lot of adventure!",6.0,217.0,africa-self-discovery-zebra-wild animal-anthropomorphism-animal-khumba,0.0,South Africa,English,1.1719,10.0451,4.8688,G,17.11826326910146
R.I.P.D.,Fantasy-Action-Comedy,en,A recently slain cop joins a team of undead police officers working for the Rest in Peace Department and tries to find the man who murdered him.,34.749,Universal Pictures-Dark Horse Entertainment-Original Film,2013-07-18,18.683045008419857,96.0,Released,To protect and serve the living.,5.817,3681.0,detective-gold-wife-police operation-investigation-partner-love-based on comic-revenge-undead-death-husband-ghost-police department-detectives,0.0,United States of America,English,4.5384,6.6213,5.8688,PG-13,17.936959456378382
The World's End,Comedy-Action-Science Fiction,en,Five friends who reunite in an attempt to top their epic pub crawl from 20 years earlier unwittingly become humankind's only hope for survival.,24.321,Big Talk Productions-Working Title Films,2013-07-18,16.811242831518264,109.0,Released,Good food. Fine ales. Total Annihilation.,6.79,4752.0,addiction-alcoholism-end of the world-apocalypse-homage,0.0,United Kingdom,English,3.81,2.6791,3.8579,R,17.646091094843904
Underdogs,Animation-Adventure-Romance,es,In the small village where Amadeo lives there is no one good enough to challenge his skills at Table Football. But while Amadeo may be a genius as a table football player in real life he's a loser. He's in love with Lara his childhood friend but he's so shy that he can't bring himself to confess his love for her. So he just hangs out in his quaint timeless village. When Amadeo beats the village bully Flash at Table Football. The scene is set for an epic rivalry. Consumed with anger Flash vows to get even and 10 years later he returns as an International Superstar a Football Icon and Galatico determined to wreak his revenge.,40.64,100 Bares-Ministerio de Cultura-369 Productions-Catmandu Branded Entertainment-JEMPSA-Plural - Jempsa-Prana Animation Studios-Telefe,2013-07-18,16.90655301132259,106.0,Released,There's only one team this summer.,6.638,385.0,football (soccer),0.0,"Argentina, Spain","Spanish, English",0.3517,0.9226,0.549,PG,17.34366644054862
Instructions Not Included,Comedy-Drama,es,Valentin is Acapulco's resident playboy until a former fling leaves a baby on his doorstep and him heading with her out of Mexico.,20.889,Filmax-Televisa-Pinema-Pantelion Films,2013-07-20,15.520258650202699,122.0,Released,Life doesn't care if you're ready.,7.7,765.0,bachelor-vespa,0.0,"United States of America, Mexico","Spanish, English",2.3561,0.6627,0.4419,PG-13,18.411309026270306
The Wind Rises,Drama-Animation-War-Romance,ja,A lifelong love of flight inspires Japanese aviation engineer Jiro Horikoshi whose storied career includes the creation of the A-6M World War II fighter plane.,35.865,Studio Ghibli-Nippon Television Network Corporation-dentsu-Hakuhodo DY Media Partners-The Walt Disney Company Japan-d-rights-TOHO-Wild Bunch,2013-07-20,17.216707939626428,126.0,Released,We must live.,7.8,2485.0,japan-flying-world war ii-earthquake-airplane-biography-great depression-pacific war-love-tuberculosis-anime,0.0,Japan,"French, German, Italian, Japanese",3.4972,2.5088,0.0,PG-13,18.58562214539422
The Wolverine,Action-Science Fiction-Adventure-Fantasy,en,Wolverine faces his ultimate nemesis - and tests of his physical emotional and mortal limits - in a life-changing voyage to modern-day Japan.,9.372,The Donners' Company-20th Century Fox,2013-07-23,18.60300230074632,126.0,Released,"When he's most vulnerable, he's most dangerous.",6.391,8655.0,japan-samurai-mutant-world war i-superhero-based on comic-superhuman-duringcreditsstinger,0.0,United States of America,"English, Japanese",5.5392,1.3279,1.1859,PG-13,19.844850377468216
The To Do List,Comedy-Romance,en,Feeling pressured to become more sexually experienced before she goes to college Brandy Klark makes a list of things to accomplish before hitting campus in the fall.,13.352,3 Arts Entertainment-The Mark Gordon Company-Varsity Pictures,2013-07-24,14.22097566607244,104.0,Released,She's going from straight A's to getting her first F.,5.7,927.0,sexuality-parent child relationship-sarcasm-naivety-black humor-swimming pool-teenage girl-sexual humor-summer-love interest-summer vacation-attraction-high school student-teenage sexuality-clumsiness-lifeguard-immaturity-awkwardness-list-woman director-public pool-female sexuality-virginity-1990s,0.0,United States of America,English,5.0078,1.1651,3.4518,R,15.087018171320537
Alan Partridge: Alpha Papa,Comedy,en,When famous DJ Alan Partridge’s radio station is taken over by a new media conglomerate it sets in motion a chain of events which see Alan having to work with the police to defuse a potentially violent siege.,14.341,BBC Film-StudioCanal-Baby Cow Productions-BFI,2013-07-24,15.201804919084164,90.0,Released,12 hostages. 24 hours. 1 Partridge.,6.7,378.0,disc jockey-radio station-hostage-hostage situation-radio broadcast-norfolk-laid off,0.0,"France, United Kingdom",English,2.4917,1.8689,0.8863,PG-13,16.0978929436408
Fruitvale Station,Drama,en,Oakland California. Young Afro-American Oscar Grant crosses paths with family members friends enemies and strangers before facing his fate on the platform at Fruitvale Station in the early morning hours of New Year's Day 2009.,11.805,Significant Productions-OG Project,2013-07-26,13.710150042306449,82.0,Released,Every step brings you closer to the edge,7.372999999999999,1081.0,new year's eve-police brutality-oakland california-based on true story-racism-day in a life,0.0,United States of America,"English, Spanish",7.5815,1.1167,2.8891,R,16.680544279751334
The Smurfs 2,Fantasy-Family-Comedy-Animation,en,The evil wizard Gargamel creates a couple of mischievous Smurf-like creatures called the Naughties that he hopes will let him harness the all-powerful magical Smurf-essence. But when he discovers that only a real Smurf can give him what he wants and only a secret spell that Smurfette knows can turn the Naughties into real Smurfs Gargamel kidnaps Smurfette and brings her to Paris where he has been winning the adoration of millions as the world¹s greatest sorcerer. It's up to Papa Clumsy Grouchy and Vanity to return to our world reunite with their human friends Patrick and Grace Winslow and rescue her! Will Smurfette who has always felt different from the other Smurfs find a new connection with the Naughties Vexy and Hackus or will the Smurfs convince her that their love for her is True Blue?,58.8,NeoReel-Columbia Pictures-Sony Pictures Animation-Hemisphere Media Capital-Kerner Entertainment Company,2013-07-30,18.469470908121796,105.0,Released,Get ready to get naughty!,5.8,2133.0,based on cartoon,0.0,United States of America,English,3.5583,3.1615,2.4198,PG,19.666085789200338
Snowpiercer,Action-Science Fiction-Drama,ko,In a future where a failed global-warming experiment kills off most life on the planet a class system evolves aboard the Snowpiercer a train that travels around the globe via a perpetual-motion engine.,35.846,CJ Entertainment-Opus Pictures-Stillking Films-SnowPiercer-Moho Film-Union Investment Partners-TMS Comics-TMS Entertainment-RADiUS-TWC-The Weinstein Company,2013-08-01,17.48418730476069,127.0,Released,"AD 2031, the passengers in the train are the only survivors on Earth.",6.9,8574.0,child labour-parent child relationship-brothel-winter-allegory-bridge-pregnancy-post-apocalyptic future-dystopia-hijacking of train-based on comic-dam-rifle-train-based on graphic novel-guilt-revolt-duplicity-tunnel-social class-population control-perpetual winter-city ruin-2030s,0.0,"Czech Republic, South Korea, United States of America","English, French, Japanese, Korean",8.9642,3.5224,3.7845,R,18.278643703503146
